timesteps,reward_train,reward_ext,reward_intrinsic,reward_surprise,reward_dejavu,intrinsic_eta,intrinsic_volatility_factor,intrinsic_surprise_loss,intrinsic_dejavu_loss,intrinsic_warmup,episode_reward_mean,explained_variance,value_loss,entropy_loss,approx_kl
1980,0.10873167961835861,0.10873167961835861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,
2000,0.06776948273181915,0.06776948273181915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,
2020,-0.4263802170753479,-0.4263802170753479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,
2040,0.00011187326890649274,0.00011187326890649274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,
2060,0.1907307207584381,0.1907307207584381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,-0.4591207504272461,0.2420214105397463,-7.099905008077622,0.006961468607187271
2080,0.15567563474178314,0.15567563474178314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,-0.4591207504272461,0.2420214105397463,-7.099905008077622,0.006961468607187271
2100,-0.03793676942586899,-0.03793676942586899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,-0.4591207504272461,0.2420214105397463,-7.099905008077622,0.006961468607187271
2120,0.2042970359325409,0.2042970359325409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,-0.4591207504272461,0.2420214105397463,-7.099905008077622,0.006961468607187271
2140,-0.003302827710285783,-0.003302827710285783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,-0.4591207504272461,0.2420214105397463,-7.099905008077622,0.006961468607187271
2160,0.08572603017091751,0.08572603017091751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,-0.4591207504272461,0.2420214105397463,-7.099905008077622,0.006961468607187271
2180,0.07128127664327621,0.07128127664327621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,-0.4591207504272461,0.2420214105397463,-7.099905008077622,0.006961468607187271
2200,0.06323619931936264,0.06323619931936264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,-0.4591207504272461,0.2420214105397463,-7.099905008077622,0.006961468607187271
2220,0.06313323974609375,0.06313323974609375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,-0.4591207504272461,0.2420214105397463,-7.099905008077622,0.006961468607187271
2240,0.07531332224607468,0.07531332224607468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,-0.4591207504272461,0.2420214105397463,-7.099905008077622,0.006961468607187271
2260,0.16071121394634247,0.16071121394634247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,-0.4591207504272461,0.2420214105397463,-7.099905008077622,0.006961468607187271
2280,0.005199299659579992,0.005199299659579992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,-0.4591207504272461,0.2420214105397463,-7.099905008077622,0.006961468607187271
2300,0.032686036080121994,0.032686036080121994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,-0.4591207504272461,0.2420214105397463,-7.099905008077622,0.006961468607187271
2320,-0.19458520412445068,-0.19458520412445068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,-0.4591207504272461,0.2420214105397463,-7.099905008077622,0.006961468607187271
2340,0.1836937516927719,0.1836937516927719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,-0.4591207504272461,0.2420214105397463,-7.099905008077622,0.006961468607187271
2360,-0.08449933677911758,-0.08449933677911758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,-0.4591207504272461,0.2420214105397463,-7.099905008077622,0.006961468607187271
2380,0.2275853157043457,0.2275853157043457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,-0.4591207504272461,0.2420214105397463,-7.099905008077622,0.006961468607187271
2400,-0.644702672958374,-0.644702672958374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,-0.4591207504272461,0.2420214105397463,-7.099905008077622,0.006961468607187271
2420,-0.005499551072716713,-0.005499551072716713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,-0.4591207504272461,0.2420214105397463,-7.099905008077622,0.006961468607187271
2440,-0.016556108370423317,-0.016556108370423317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,-0.4591207504272461,0.2420214105397463,-7.099905008077622,0.006961468607187271
2460,0.06583733856678009,0.06583733856678009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,-0.4591207504272461,0.2420214105397463,-7.099905008077622,0.006961468607187271
2480,-0.0062825339846313,-0.0062825339846313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,-0.4591207504272461,0.2420214105397463,-7.099905008077622,0.006961468607187271
2500,0.10323666781187057,0.10323666781187057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,-0.4591207504272461,0.2420214105397463,-7.099905008077622,0.006961468607187271
2520,0.1929260641336441,0.1929260641336441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,-0.4591207504272461,0.2420214105397463,-7.099905008077622,0.006961468607187271
2540,0.10545563697814941,0.10545563697814941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,-0.4591207504272461,0.2420214105397463,-7.099905008077622,0.006961468607187271
2560,-0.13151255249977112,-0.13151255249977112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,-0.4591207504272461,0.2420214105397463,-7.099905008077622,0.006961468607187271
2580,-0.24424293637275696,-0.24424293637275696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,-0.4591207504272461,0.2420214105397463,-7.099905008077622,0.006961468607187271
2600,0.31310465931892395,0.31310465931892395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,-0.4591207504272461,0.2420214105397463,-7.099905008077622,0.006961468607187271
2620,-0.0055510797537863255,-0.0055510797537863255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,-0.4591207504272461,0.2420214105397463,-7.099905008077622,0.006961468607187271
2640,0.05295271426439285,0.05295271426439285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,-0.4591207504272461,0.2420214105397463,-7.099905008077622,0.006961468607187271
2660,0.006858437787741423,0.006858437787741423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,-0.4591207504272461,0.2420214105397463,-7.099905008077622,0.006961468607187271
2680,0.4674326181411743,0.4674326181411743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,-0.4591207504272461,0.2420214105397463,-7.099905008077622,0.006961468607187271
2700,0.07437974214553833,0.07437974214553833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,-0.4591207504272461,0.2420214105397463,-7.099905008077622,0.006961468607187271
2720,-0.07087987661361694,-0.07087987661361694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,-0.4591207504272461,0.2420214105397463,-7.099905008077622,0.006961468607187271
2740,0.103016197681427,0.103016197681427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,-0.4591207504272461,0.2420214105397463,-7.099905008077622,0.006961468607187271
2760,-0.019263720139861107,-0.019263720139861107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,-0.4591207504272461,0.2420214105397463,-7.099905008077622,0.006961468607187271
2780,-0.30654263496398926,-0.30654263496398926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,-0.4591207504272461,0.2420214105397463,-7.099905008077622,0.006961468607187271
2800,-0.5004633069038391,-0.5004633069038391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,-0.4591207504272461,0.2420214105397463,-7.099905008077622,0.006961468607187271
2820,0.06318589299917221,0.06318589299917221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,-0.4591207504272461,0.2420214105397463,-7.099905008077622,0.006961468607187271
2840,-0.3208681643009186,-0.3208681643009186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,-0.4591207504272461,0.2420214105397463,-7.099905008077622,0.006961468607187271
